ID,city,jinkou,0_4jinkou,hiritsu
1,鶴見区,280234,13506,0.048195437
2,神奈川区,234496,9620,0.041024154
3,西区,97251,4011,0.041243792
4,中区,147065,5337,0.036290076
5,南区,194393,6880,0.035392221
6,港南区,217782,8387,0.038510988
7,保土ヶ谷区,204290,7372,0.036085956
8,旭区,248560,9754,0.039242034
9,磯子区,161968,6472,0.03995851
10,金沢区,204453,7542,0.036888674
11,港北区,338969,15514,0.045768197
12,緑区,178783,8045,0.044998686
13,青葉区,307844,13581,0.044116501
14,都筑区,209626,11588,0.055279402
15,戸塚区,273962,12341,0.045046393
16,栄区,123176,4948,0.040170163
17,泉区,154807,6385,0.041244905
18,瀬谷区,125599,5162,0.041099053
